n=50000, #threads=3, mono_threaded=556.929946ms, 3_threaded=84.989997ms, ratio=0.152604
n=50000, #threads=4, mono_threaded=556.929946ms, 4_threaded=62.484645ms, ratio=0.112195
n=50000, #threads=5, mono_threaded=556.929946ms, 5_threaded=56.25221ms, ratio=0.101004
n=50000, #threads=6, mono_threaded=556.929946ms, 6_threaded=53.072888ms, ratio=0.095295
n=50000, #threads=7, mono_threaded=556.929946ms, 7_threaded=54.000891ms, ratio=0.096962
n=50000, #threads=8, mono_threaded=556.929946ms, 8_threaded=56.731343ms, ratio=0.101864
n=50000, #threads=9, mono_threaded=556.929946ms, 9_threaded=62.875673ms, ratio=0.112897
n=50000, #threads=10, mono_threaded=556.929946ms, 10_threaded=68.116935ms, ratio=0.122308
n=50000, #threads=11, mono_threaded=556.929946ms, 11_threaded=72.722725ms, ratio=0.130578
n=50000, #threads=12, mono_threaded=556.929946ms, 12_threaded=77.686269ms, ratio=0.139490
n=50000, #threads=13, mono_threaded=556.929946ms, 13_threaded=82.474449ms, ratio=0.148088
n=50000, #threads=14, mono_threaded=556.929946ms, 14_threaded=88.287679ms, ratio=0.158526
n=50000, #threads=15, mono_threaded=556.929946ms, 15_threaded=92.20055ms, ratio=0.165551
n=50000, #threads=16, mono_threaded=556.929946ms, 16_threaded=94.6995ms, ratio=0.170038
n=55000, #threads=2, mono_threaded=696.799266ms, 2_threaded=196.043375ms, ratio=0.281348
n=55000, #threads=3, mono_threaded=696.799266ms, 3_threaded=102.616189ms, ratio=0.147268
n=55000, #threads=4, mono_threaded=696.799266ms, 4_threaded=75.270801ms, ratio=0.108024
n=55000, #threads=5, mono_threaded=696.799266ms, 5_threaded=66.410003ms, ratio=0.095307
n=55000, #threads=6, mono_threaded=696.799266ms, 6_threaded=63.388526ms, ratio=0.090971
n=55000, #threads=7, mono_threaded=696.799266ms, 7_threaded=63.91666ms, ratio=0.091729
n=55000, #threads=8, mono_threaded=696.799266ms, 8_threaded=67.511776ms, ratio=0.096888
n=55000, #threads=9, mono_threaded=696.799266ms, 9_threaded=74.062197ms, ratio=0.106289
n=55000, #threads=10, mono_threaded=696.799266ms, 10_threaded=80.288524ms, ratio=0.115225
n=55000, #threads=11, mono_threaded=696.799266ms, 11_threaded=85.9929ms, ratio=0.123411
n=55000, #threads=12, mono_threaded=696.799266ms, 12_threaded=91.489389ms, ratio=0.131299
n=55000, #threads=13, mono_threaded=696.799266ms, 13_threaded=96.879831ms, ratio=0.139035
n=55000, #threads=14, mono_threaded=696.799266ms, 14_threaded=103.522272ms, ratio=0.148568
n=55000, #threads=15, mono_threaded=696.799266ms, 15_threaded=108.347961ms, ratio=0.155494
n=55000, #threads=16, mono_threaded=696.799266ms, 16_threaded=111.510652ms, ratio=0.160033
n=60000, #threads=2, mono_threaded=856.141095ms, 2_threaded=234.139486ms, ratio=0.273482
n=60000, #threads=3, mono_threaded=856.141095ms, 3_threaded=121.823054ms, ratio=0.142293
n=60000, #threads=4, mono_threaded=856.141095ms, 4_threaded=88.735511ms, ratio=0.103646
n=60000, #threads=5, mono_threaded=856.141095ms, 5_threaded=78.197352ms, ratio=0.091337
n=60000, #threads=6, mono_threaded=856.141095ms, 6_threaded=73.775425ms, ratio=0.086172
n=60000, #threads=7, mono_threaded=856.141095ms, 7_threaded=74.640431ms, ratio=0.087182
n=60000, #threads=8, mono_threaded=856.141095ms, 8_threaded=77.826766ms, ratio=0.090904
n=60000, #threads=9, mono_threaded=856.141095ms, 9_threaded=86.057451ms, ratio=0.100518
n=60000, #threads=10, mono_threaded=856.141095ms, 10_threaded=93.271672ms, ratio=0.108944
n=60000, #threads=11, mono_threaded=856.141095ms, 11_threaded=99.702803ms, ratio=0.116456
n=60000, #threads=12, mono_threaded=856.141095ms, 12_threaded=106.451721ms, ratio=0.124339
n=60000, #threads=13, mono_threaded=856.141095ms, 13_threaded=112.250665ms, ratio=0.131112
n=60000, #threads=14, mono_threaded=856.141095ms, 14_threaded=119.312861ms, ratio=0.139361
n=60000, #threads=15, mono_threaded=856.141095ms, 15_threaded=125.387974ms, ratio=0.146457
n=60000, #threads=16, mono_threaded=856.141095ms, 16_threaded=130.042147ms, ratio=0.151893
n=65000, #threads=2, mono_threaded=1.035482461s, 2_threaded=275.965895ms, ratio=0.266509
n=65000, #threads=3, mono_threaded=1.035482461s, 3_threaded=143.02663ms, ratio=0.138126
n=65000, #threads=4, mono_threaded=1.035482461s, 4_threaded=104.159161ms, ratio=0.100590
n=65000, #threads=5, mono_threaded=1.035482461s, 5_threaded=90.961911ms, ratio=0.087845
n=65000, #threads=6, mono_threaded=1.035482461s, 6_threaded=85.053002ms, ratio=0.082139
n=65000, #threads=7, mono_threaded=1.035482461s, 7_threaded=85.758322ms, ratio=0.082820
n=65000, #threads=8, mono_threaded=1.035482461s, 8_threaded=89.575423ms, ratio=0.086506
